Reference;LeftContext;Keyword;RightContext
02 - Le Plus Bel Amour de Don Juan;... » La marquise avait ri, dit;Ravila;", quand elle lui avait raconté cette histoire ; mais aucune des"
02 - Le Plus Bel Amour de Don Juan;table ne songea à rire, -- ni;Ravila;non plus. -- Et voilà, Mesdames, croyez -le,
02 - Le Plus Bel Amour de Don Juan;Ravila non plus. -- Et voilà,;Mesdames;, croyez -le, si vous voulez, -- ajouta-t -il en
02 - Le Plus Bel Amour de Don Juan;compris ? Lorsque joseph était esclave chez Mme;Putiphar;, il était si beau, dit le Koran, que,
02 - Le Plus Bel Amour de Don Juan;, il était si beau, dit le;Koran;, que, de rêverie, les femmes qu'il servait à
02 - Le Plus Bel Amour de Don Juan;Mais nous ne sommes plus au temps de;Joseph;, et les préoccupations qu'on a au dessert sont moins fortes
02 - Le Plus Bel Amour de Don Juan;toujours à la main. La comtesse de;Chiffrevas;regardait attentivement dans le fond d'un verre de vin du Rhin
02 - Le Plus Bel Amour de Don Juan;le fond d'un verre de vin du;Rhin;, en cristal émeraude, mystérieux comme sa pensée. -- Et
02 - Le Plus Bel Amour de Don Juan;petite masque ? -- demanda-t -elle. --;Oh;, elle était morte, bien jeune et mariée en province,
02 - Le Plus Bel Amour de Don Juan;sa mère me raconta cette histoire, répondit;Ravila;. -- Sans cela !... fit la duchesse songeuse. Le
02 - Le Plus Bel Amour de Don Juan;raconta cette histoire, répondit Ravila. --;Sans;cela !... fit la duchesse songeuse.
03 - Le Bonheur dans le crime;vraie, c'est à croire que le;Diable;a dicté. J'étais un des matins de l'automne dernier
03 - Le Bonheur dans le crime;jardin des Plantes, en compagnie du docteur;Torty;, certainement une de mes plus vieilles connaissances. Lorsque je n'
03 - Le Bonheur dans le crime;n'étais qu'un enfant, le docteur;Torty;"exerçait la médecine dans la ville de V... ; mais après"
03 - Le Bonheur dans le crime;leurs maîtres, sur les meilleures terres de;Normandie;", -- il n'en avait pas repris d'autres ; et"
03 - Le Bonheur dans le crime;casser, il était venu s'engloutir dans;Paris;, -- là même, dans le voisinage du Jardin des Plantes
03 - Le Bonheur dans le crime;-- là même, dans le voisinage du;Jardin;des Plantes, rue Cuvier, je crois, -- ne faisant
03 - Le Bonheur dans le crime;même, dans le voisinage du Jardin des;Plantes;, rue Cuvier, je crois, -- ne faisant plus la
03 - Le Bonheur dans le crime;le voisinage du Jardin des Plantes, rue;Cuvier;, je crois, -- ne faisant plus la médecine que pour
03 - Le Bonheur dans le crime;L'avez -vous quelquefois rencontré, le docteur;Torty;? C'était un de ces esprits hardis et vigoureux qui ne
03 - Le Bonheur dans le crime;portait bien, ce brusque original de docteur;Torty;"; mais ceux à qui il déplaisait le plus, une fois"
03 - Le Bonheur dans le crime;comme les sauvages en faisaient au fusil de;Robinson;qui pouvait les tuer, non pour les mêmes raisons que les
03 - Le Bonheur dans le crime;, ils me prenaient encore de préférence aux;Saintes;Huiles. » Comme vous voyez, il ne se gênait pas
03 - Le Bonheur dans le crime;ils me prenaient encore de préférence aux Saintes;Huiles;. » Comme vous voyez, il ne se gênait pas,
03 - Le Bonheur dans le crime;encore de préférence aux Saintes Huiles. »;Comme;vous voyez, il ne se gênait pas, le docteur.
03 - Le Bonheur dans le crime;, il était, comme son vieux camarade;Chaussier;, de l'école de ces médecins terribles par un matérialisme absolu
03 - Le Bonheur dans le crime;terribles par un matérialisme absolu, et comme;Dubois;#NOME?
03 - Le Bonheur dans le crime;, et comme Dubois -- le premier des;Dubois;#NOME?
03 - Le Bonheur dans le crime;donner une simple idée du cynisme du docteur;Torty;, c'est lui qui me disait un soir, au cercle
03 - Le Bonheur dans le crime;me disait un soir, au cercle des;Ganaches;, en embrassant somptueusement d'un regard de propriétaire le quadrilatère éblouissant
03 - Le Bonheur dans le crime;table ornée de cent vingt convives : «;C';est moi qui les fais tous !... » Moïse n'eût
03 - Le Bonheur dans le crime;moi qui les fais tous !... »;Moïse;n'eût pas été plus fier, en montrant la baguette avec
03 - Le Bonheur dans le crime;rochers en fontaines. Que voulez -vous,;Madame;? Il n'avait pas la bosse du respect, et même
03 - Le Bonheur dans le crime;ce brun qu'on appela longtemps fumée de;Moscou;, il ne ressemblait ni de tenue ni d'allure à messieurs
03 - Le Bonheur dans le crime;ni d'allure à messieurs les médecins de;Paris;, corrects, cravatés de blanc, comme du suaire de leurs
03 - Le Bonheur dans le crime;dans des chemins à casser en deux des;Centaures;, -- et on devinait bien tout cela à la manière dont
03 - Le Bonheur dans le crime;celles d'un ancien postillon. Le docteur;Torty;avait été une espèce de Bas-de-Cuir équestre, qui avait vécu dans
03 - Le Bonheur dans le crime;, qui avait vécu dans les fondrières du;Cotentin;, comme le Bas-de-Cuir de Cooper dans les forêts de l'Amérique
03 - Le Bonheur dans le crime;dans les fondrières du Cotentin, comme le;Bas-de-Cuir;de Cooper dans les forêts de l'Amérique. Naturaliste qui se
03 - Le Bonheur dans le crime;fondrières du Cotentin, comme le Bas-de-Cuir de;Cooper;dans les forêts de l'Amérique. Naturaliste qui se moquait,
03 - Le Bonheur dans le crime;Bas-de-Cuir de Cooper dans les forêts de l';Amérique;. Naturaliste qui se moquait, comme le héros de Cooper,
03 - Le Bonheur dans le crime;qui se moquait, comme le héros de;Cooper;, des lois sociales, mais qui, comme l'homme de
03 - Le Bonheur dans le crime;, mais qui, comme l'homme de;Fenimore;, ne les avait pas remplacées par l'idée de Dieu,
03 - Le Bonheur dans le crime;Ce n'était nullement un misanthrope à l';Alceste;. Il ne s'indignait pas vertueusement. Il ne s'encolérait
03 - Le Bonheur dans le crime;. Tel exactement il était, ce docteur;Torty;, avec lequel je me promenais. Il faisait, ce jour
03 - Le Bonheur dans le crime;à arrêter les hirondelles qui vont partir.;Midi;sonnait à Notre- Dame, et son grave bourdon semblait verser,
03 - Le Bonheur dans le crime;hirondelles qui vont partir. Midi sonnait à;Notre-;Dame, et son grave bourdon semblait verser, par-dessus la rivière
03 - Le Bonheur dans le crime;qui vont partir. Midi sonnait à Notre-;Dame;, et son grave bourdon semblait verser, par-dessus la rivière verte
03 - Le Bonheur dans le crime;de cette espèce particulière à l'île de;Java;, le pays du monde où la nature est le plus intense
03 - Le Bonheur dans le crime;de son sol terrible et splendide. À;Java;, les fleurs ont plus d'éclat et plus de parfum,
03 - Le Bonheur dans le crime;la fois enchantante et empoisonnante, tout ensemble;Armide;et Locuste ! Etalée nonchalamment sur ses élégantes pattes allongées devant elle
03 - Le Bonheur dans le crime;enchantante et empoisonnante, tout ensemble Armide et;Locuste;! Etalée nonchalamment sur ses élégantes pattes allongées devant elle, la
03 - Le Bonheur dans le crime;, comme disent les marins revenus de la;Terre;de Feu, passé la ligne, la ligne fatale, plus
03 - Le Bonheur dans le crime;disent les marins revenus de la Terre de;Feu;, passé la ligne, la ligne fatale, plus formidable que
03 - Le Bonheur dans le crime;avait porté un de ces costumes que le;Titien;donne à ses portraits, ressemblait par sa tournure busquée, son
03 - Le Bonheur dans le crime;blanchir, à un mignon du temps de;Henri;"III ; et pour que la ressemblance fût plus complète, il"
03 - Le Bonheur dans le crime;tout était simple et dandy comme l'entendait;Brummell;, c'est-à-dire irrémarquable, dans la tenue de cet homme qui
03 - Le Bonheur dans le crime;noir, elle faisait penser à la grande;Isis;noire du Musée Egyptien, par l'ampleur de ses formes,
03 - Le Bonheur dans le crime;faisait penser à la grande Isis noire du;Musée;Egyptien, par l'ampleur de ses formes, la fierté mystérieuse
03 - Le Bonheur dans le crime;penser à la grande Isis noire du Musée;Egyptien;, par l'ampleur de ses formes, la fierté mystérieuse et
03 - Le Bonheur dans le crime;ses regards. Elle se claquemurait. --;Eh;! eh ! panthère contre panthère ! -- fit le docteur à
03 - Le Bonheur dans le crime;il avait vu juste, le docteur !;Noire;, souple, d'articulation aussi puissante, aussi royale d'attitude
03 - Le Bonheur dans le crime;et ses naseaux froncés vibraient encore... --;Folle;! dit l'homme, en saisissant ce beau poignet, qui
03 - Le Bonheur dans le crime;Vous savez comme parfois on dit : «;Folle;"!... » Il le dit ainsi ; et il le baisa"
03 - Le Bonheur dans le crime;on dit : « Folle !... »;Il;"le dit ainsi ; et il le baisa, ce poignet,"
03 - Le Bonheur dans le crime;monde dans leur nuage, comme, dans;Homère;, les Immortels ! De telles choses sont rares à Paris,
03 - Le Bonheur dans le crime;Immortels ! De telles choses sont rares à;Paris;, et, pour cette raison, nous restâmes à le voir
03 - Le Bonheur dans le crime;d'attelage, qui les attendait. --;Ils;oublient l'univers ! -- fis -je au docteur, qui comprit
03 - Le Bonheur dans le crime;docteur, qui comprit ma pensée. --;Ah;! ils s'en soucient bien de l'univers ! -- répondit
03 - Le Bonheur dans le crime;de leur médecin sans le voir. --;Quoi;, c'est vous, docteur ! -- m'écriai -je,
03 - Le Bonheur dans le crime;compère ! -- Eh bien, c'est;Philémon;et Baucis, -- me dit -il simplement. -- Voilà !
03 - Le Bonheur dans le crime;-- Eh bien, c'est Philémon et;Baucis;, -- me dit -il simplement. -- Voilà ! -- Peste
03 - Le Bonheur dans le crime;dit -il simplement. -- Voilà ! --;Peste;! fis -je, -- un Philémon et une Baucis d'une
03 - Le Bonheur dans le crime;nom... Comment les appelez -vous ? --;Comment;! -- répondit le docteur, -- dans votre monde, où
03 - Le Bonheur dans le crime;entendu parler du comte et de la comtesse;Serlon;de Savigny comme d'un modèle fabuleux d'amour conjugal ? --
03 - Le Bonheur dans le crime;du comte et de la comtesse Serlon de;Savigny;comme d'un modèle fabuleux d'amour conjugal ? -- Ma foi
03 - Le Bonheur dans le crime;monde où je vais, docteur. --;Hum;! hum ! c'est bien possible, -- fit le docteur
03 - Le Bonheur dans le crime;presque toute l'année leur vieux château de;Savigny;, dans le Cotentin, il a couru autrefois de tels bruits
03 - Le Bonheur dans le crime;leur vieux château de Savigny, dans le;Cotentin;, il a couru autrefois de tels bruits sur eux, qu'
03 - Le Bonheur dans le crime;tels bruits sur eux, qu'au faubourg;Saint-;Germain, où l'on a encore un reste de solidarité nobiliaire
03 - Le Bonheur dans le crime;bruits sur eux, qu'au faubourg Saint-;Germain;, où l'on a encore un reste de solidarité nobiliaire,
03 - Le Bonheur dans le crime;-- Et quels étaient ces bruits ?...;Ah;! voilà que vous m'intéressez, docteur ! Vous devez en
03 - Le Bonheur dans le crime;en savoir quelque chose. Le château de;Savigny;n'est pas très loin de la ville de V...,
03 - Le Bonheur dans le crime;, où vous avez été médecin. --;Eh;! ces bruits... -- dit le docteur (il prit pensivement
03 - Le Bonheur dans le crime;celui -là ! -- Et, cependant,;Philémon;et Baucis, disiez -vous, docteur ?... -- Baucis !
03 - Le Bonheur dans le crime;! -- Et, cependant, Philémon et;Baucis;, disiez -vous, docteur ?... -- Baucis ! Baucis !
03 - Le Bonheur dans le crime;, disiez -vous, docteur ?... --;Baucis;! Baucis ! Hum ! Monsieur... -- interrompit le docteur Torty
03 - Le Bonheur dans le crime;Hum ! Monsieur... -- interrompit le docteur;Torty;, en passant brusquement son index en crochet sur toute la longueur
03 - Le Bonheur dans le crime;air d'une Baucis que d'une lady;Macbeth;, cette gaillarde -là ?... -- Docteur, mon cher et
03 - Le Bonheur dans le crime;Macbeth, cette gaillarde -là ?... --;Docteur;, mon cher et adorable docteur, -- repris -je, avec
03 - Le Bonheur dans le crime;savez du comte et de la comtesse de;Savigny;?... -- Le médecin est le confesseur des temps modernes,
03 - Le Bonheur dans le crime;, avec un ton solennellement goguenard. --;Il;a remplacé le prêtre, Monsieur, et il est obligé au
03 - Le Bonheur dans le crime;oeil. Il me crut attrapé. --;Et;il va le tenir... comme le prêtre ! -- ajouta-t -il
03 - Le Bonheur dans le crime;qui borde, par ce côté, le;Jardin;des Plantes et le boulevard de l'Hôpital... Là, nous
03 - Le Bonheur dans le crime;, par ce côté, le Jardin des;Plantes;et le boulevard de l'Hôpital... Là, nous nous assîmes
03 - Le Bonheur dans le crime;Jardin des Plantes et le boulevard de l';Hôpital;... Là, nous nous assîmes sur. un banc à dossier
03 - Le Bonheur dans le crime;dossier vert, et il commença : «;Mon;cher, c'est là une histoire qu'il faut aller chercher
03 - Le Bonheur dans le crime;-là, la ville la plus bretteuse de;France;. La Révolution de 1789 avait eu beau enlever aux nobles le
03 - Le Bonheur dans le crime;encore, -- qui, au camp de;Hollande;, et bien jeune alors, avait battu à plate couture tous
03 - Le Bonheur dans le crime;hommes qui leur apprenaient à la tenir.;Louis;XV, si je m'en souviens bien, n'avait -il
03 - Le Bonheur dans le crime;bien, n'avait -il pas donné à;Danet;, son maître, qui nous a laissé un livre sur l'
03 - Le Bonheur dans le crime;eût été l'un des leurs. «;Jusque;-là, c'était bien, et il n'y avait qu'
03 - Le Bonheur dans le crime;et il n'y avait qu'à féliciter;Stassin;", dit La Pointe-au-corps, de sa bonne fortune ; mais,"
03 - Le Bonheur dans le crime;avoir roulé dans toutes les contrées de l';Europe;, et pris le menton et la taille de toutes les filles
03 - Le Bonheur dans le crime;été là ! » -- La comtesse de;Savigny;! -- m'écriai -je. « Oui, la comtesse de
03 - Le Bonheur dans le crime;-je. « Oui, la comtesse de;Savigny;, tout au long, elle -même ! Ah ! il ne
03 - Le Bonheur dans le crime;personne. Je me rappelle avoir vu à;Stockholm;celui de Charles XII, qui ressemblait à une mangeoire de cheval
03 - Le Bonheur dans le crime;me rappelle avoir vu à Stockholm celui de;Charles;XII, qui ressemblait à une mangeoire de cheval grossièrement coloriée en
03 - Le Bonheur dans le crime;l'enfant n'y est plus. »;Et;, pour appuyer son axiome, le docteur, à cette place
03 - Le Bonheur dans le crime;choisit, entre tous, le comte d';Avice;, le doyen de tous ces batteurs de fer et de pavé
03 - Le Bonheur dans le crime;émigration, avait été lui -même prévôt à;Londres;, à plusieurs guinées la leçon. Le comte d'Avice de
03 - Le Bonheur dans le crime;plusieurs guinées la leçon. Le comte d';Avice;de Sortôville-en-Beaumont, déjà chevalier de Saint-Louis et capitaine de dragons avant
03 - Le Bonheur dans le crime;la leçon. Le comte d'Avice de;Sortôville-en-Beaumont;, déjà chevalier de Saint-Louis et capitaine de dragons avant la Révolution
03 - Le Bonheur dans le crime;d'Avice de Sortôville-en-Beaumont, déjà chevalier de;Saint-Louis;et capitaine de dragons avant la Révolution, -- pour le moins
03 - Le Bonheur dans le crime;comme le parrain était monsieur le comte d';Avice;et qu'il y aura toujours, malgré les libéraux et leurs
03 - Le Bonheur dans le crime;voit dans le calendrier romain une sainte nommée;Claire;, le nom de l'épée d'Olivier passa à l'enfant
03 - Le Bonheur dans le crime;Claire, le nom de l'épée d';Olivier;passa à l'enfant, sans que la ville de V...
03 - Le Bonheur dans le crime;On ne parlait partout que de la petite;Hauteclaire;Stassin, qui, plus tard, devait devenir Mademoiselle Hauteclaire Stassin
03 - Le Bonheur dans le crime;ne parlait partout que de la petite Hauteclaire;Stassin;, qui, plus tard, devait devenir Mademoiselle Hauteclaire Stassin.
03 - Le Bonheur dans le crime;, qui, plus tard, devait devenir;Mademoiselle;Hauteclaire Stassin. C'était surtout, comme vous vous en doutez
03 - Le Bonheur dans le crime;qui, plus tard, devait devenir Mademoiselle;Hauteclaire;Stassin. C'était surtout, comme vous vous en doutez,
03 - Le Bonheur dans le crime;, plus tard, devait devenir Mademoiselle Hauteclaire;Stassin;. C'était surtout, comme vous vous en doutez, de
03 - Le Bonheur dans le crime;fût avec les pères, la fille de;Stassin;, dit La Pointe-au- corps, ne pouvait décemment aller, une
03 - Le Bonheur dans le crime;et elles auraient voulu voir de près cette;Saint-Georges;femelle, dont la beauté, disaient -ils, égalait le talent
03 - Le Bonheur dans le crime;La Pointe-au-corps, qui avait, sous l';Empire;, servi dans les hussards, et qui, avec sa salle
03 - Le Bonheur dans le crime;il se promenait souvent à cheval, avec;Hauteclaire;, dans les routes qui rayonnent de la ville et qui l'
03 - Le Bonheur dans le crime;et se précipiter aux portières dès que Mlle;Hauteclaire;Stassin apparaissait, trottant ou galopant dans la perspective d'une route
03 - Le Bonheur dans le crime;se précipiter aux portières dès que Mlle Hauteclaire;Stassin;apparaissait, trottant ou galopant dans la perspective d'une route,
03 - Le Bonheur dans le crime;un voile gros bleu trop épais. Mlle;Hauteclaire;Stassin n'était guère connue que des hommes de la ville de
03 - Le Bonheur dans le crime;voile gros bleu trop épais. Mlle Hauteclaire;Stassin;n'était guère connue que des hommes de la ville de V
03 - Le Bonheur dans le crime;, qui excitait les imaginations curieuses ?...;Cela;"était bien possible ; mais qui le savait ? qui pouvait le"
03 - Le Bonheur dans le crime;moment où réellement cette histoire commence. Mlle;Hauteclaire;avait environ dix-sept ans. L'ancien beau, La Pointe- au-corps
03 - Le Bonheur dans le crime;, et tué moralement par la Révolution de;Juillet;, laquelle fit partir les nobles en deuil pour leurs châteaux et
03 - Le Bonheur dans le crime;d'armes, -- par le vicomte de;Taillebois;et le chevalier de Mesnilgrand, -- un jeune homme du pays
03 - Le Bonheur dans le crime;le vicomte de Taillebois et le chevalier de;Mesnilgrand;, -- un jeune homme du pays élevé au loin, et
03 - Le Bonheur dans le crime;, mort récemment. C'était le comte;Serlon;de Savigny, le prétendu (disait la ville de V...
03 - Le Bonheur dans le crime;récemment. C'était le comte Serlon de;Savigny;, le prétendu (disait la ville de V... dans son
03 - Le Bonheur dans le crime;son langage de petite ville) de Mlle;Delphine;de Cantor. Le comte de Savigny était certainement un des plus
03 - Le Bonheur dans le crime;de petite ville) de Mlle Delphine de;Cantor;. Le comte de Savigny était certainement un des plus brillants et
03 - Le Bonheur dans le crime;Mlle Delphine de Cantor. Le comte de;Savigny;était certainement un des plus brillants et des plus piaffants jeunes gens
03 - Le Bonheur dans le crime;On lui avait beaucoup parlé de la fameuse;Hauteclaire;Stassin, et il avait voulu voir ce miracle. Il la
03 - Le Bonheur dans le crime;lui avait beaucoup parlé de la fameuse Hauteclaire;Stassin;, et il avait voulu voir ce miracle. Il la trouva
03 - Le Bonheur dans le crime;, qui mettaient en relief ses formes de;Pallas;de Velletri, et dans son corsage de maroquin noir, qui
03 - Le Bonheur dans le crime;mettaient en relief ses formes de Pallas de;Velletri;, et dans son corsage de maroquin noir, qui pinçait,
03 - Le Bonheur dans le crime;, -- une de ces tailles que les;Circassiennes;n'obtiennent qu'en emprisonnant leurs jeunes filles dans une ceinture de
03 - Le Bonheur dans le crime;développement seul de leur corps doit briser.;Hauteclaire;Stassin était sérieuse comme une Clorinde. Il la regarda donner sa
03 - Le Bonheur dans le crime;seul de leur corps doit briser. Hauteclaire;Stassin;était sérieuse comme une Clorinde. Il la regarda donner sa leçon
03 - Le Bonheur dans le crime;briser. Hauteclaire Stassin était sérieuse comme une;Clorinde;. Il la regarda donner sa leçon, et il lui demanda
03 - Le Bonheur dans le crime;Tancrède de la situation, le comte de;Savigny;! Mlle Hauteclaire Stassin plia à plusieurs reprises son épée en faucille
03 - Le Bonheur dans le crime;situation, le comte de Savigny ! Mlle;Hauteclaire;Stassin plia à plusieurs reprises son épée en faucille sur le coeur
03 - Le Bonheur dans le crime;, le comte de Savigny ! Mlle Hauteclaire;Stassin;plia à plusieurs reprises son épée en faucille sur le coeur du
03 - Le Bonheur dans le crime;épée en faucille sur le coeur du beau;Serlon;, et elle ne fut pas touchée une seule fois. --
03 - Le Bonheur dans le crime;-- On ne peut pas vous toucher,;Mademoiselle;, -- lui dit -il, avec beaucoup de grâce. --
03 - Le Bonheur dans le crime;, du reste, que le comte de;Savigny;vint, tous les jours, prendre une leçon d'armes à
03 - Le Bonheur dans le crime;l'amour de l'escrime expliquait tout.;Savigny;ne fit de confidences à personne. Il évita même de venir
03 - Le Bonheur dans le crime;qui ne manquait pas de profondeur, ce;Savigny;... Ce qui se passa entre lui et Hauteclaire, s'il
03 - Le Bonheur dans le crime;... Ce qui se passa entre lui et;Hauteclaire;, s'il se passa quelque chose, aucun, à cette
03 - Le Bonheur dans le crime;s'en douta. Son mariage avec Mlle;Delphine;de Cantor, arrêté par les parents des deux familles, il
03 - Le Bonheur dans le crime;douta. Son mariage avec Mlle Delphine de;Cantor;, arrêté par les parents des deux familles, il y avait
03 - Le Bonheur dans le crime;trois mois après le retour du comte de;Savigny;"; et même ce fut là pour lui une occasion de vivre"
03 - Le Bonheur dans le crime;leçon... Comme tout le monde, Mlle;Hauteclaire;entendit, à l'église paroissiale de V..., proclamer les
03 - Le Bonheur dans le crime;..., proclamer les bans du comte de;Savigny;"et de Mlle de Cantor ; mais, ni son attitude,"
03 - Le Bonheur dans le crime;du comte de Savigny et de Mlle de;Cantor;"; mais, ni son attitude, ni sa physionomie, ne"
03 - Le Bonheur dans le crime;qui sommeillait, d'une liaison possible entre;Savigny;et la belle Hauteclaire. Le mariage célébré, la comtesse alla
03 - Le Bonheur dans le crime;une liaison possible entre Savigny et la belle;Hauteclaire;. Le mariage célébré, la comtesse alla s'établir à son
03 - Le Bonheur dans le crime;instants, sa salle se rouvrit. Mlle;Hauteclaire;"Stassin annonça qu'elle continuerait les leçons de son père ; et"
03 - Le Bonheur dans le crime;, sa salle se rouvrit. Mlle Hauteclaire;Stassin;"annonça qu'elle continuerait les leçons de son père ; et,"
03 - Le Bonheur dans le crime;, aura toujours sur l'homme, en;France;, un avantage marqué. Or, Mlle Hauteclaire Stassin, pour
03 - Le Bonheur dans le crime;, un avantage marqué. Or, Mlle;Hauteclaire;Stassin, pour ce qu'elle faisait, le faisait beaucoup mieux
03 - Le Bonheur dans le crime;un avantage marqué. Or, Mlle Hauteclaire;Stassin;, pour ce qu'elle faisait, le faisait beaucoup mieux.
03 - Le Bonheur dans le crime;en souffrît. Pas plus à propos de;Savigny;qu'à propos de personne, la réputation de Mlle Hauteclaire Stassin
03 - Le Bonheur dans le crime;propos de personne, la réputation de Mlle;Hauteclaire;"Stassin ne fut effleurée... "" Il parait pourtant que c'est"
03 - Le Bonheur dans le crime;de personne, la réputation de Mlle Hauteclaire;Stassin;"ne fut effleurée... "" Il parait pourtant que c'est une"
03 - Le Bonheur dans le crime;, sur le chapitre de la vertu de;Hauteclaire;, de la même opinion que toute la ville. J'allais
03 - Le Bonheur dans le crime;et après le mariage de M. de;Savigny;, je n'y avais jamais vu qu'une jeune fille grave
03 - Le Bonheur dans le crime;de canon et cassa les vitres... --;Mademoiselle;Hauteclaire Stassin a disparu ! Elle avait disparu : pourquoi ?...
03 - Le Bonheur dans le crime;canon et cassa les vitres... -- Mademoiselle;Hauteclaire;Stassin a disparu ! Elle avait disparu : pourquoi ?... comment
03 - Le Bonheur dans le crime;et cassa les vitres... -- Mademoiselle Hauteclaire;Stassin;a disparu ! Elle avait disparu : pourquoi ?... comment ?
03 - Le Bonheur dans le crime;, que rien n'expliquait, car Mlle;Hauteclaire;avait disparu sans dire un mot ou laisser un mot à personne
03 - Le Bonheur dans le crime;pour expliquer qu'on a disparu. --;Elle;avait disparu de la plus radicale manière. Elle avait fait,
03 - Le Bonheur dans le crime;fière s'en était -elle allée ?...;Qui;l'avait enlevée ? Car, bien sûr, elle avait été
03 - Le Bonheur dans le crime;Enfin, on perdait, en perdant Mlle;Stassin;, qui n'était plus alors que cette Stassin, une salle
03 - Le Bonheur dans le crime;faire passer sur la mémoire de cette irréprochable;Hauteclaire;, le torrent plus ou moins fangeux de toutes les suppositions !
03 - Le Bonheur dans le crime;, comme son parrain, le comte d';Avice;, l'avaient vue enfant, et qui, d'ailleurs,
03 - Le Bonheur dans le crime;d'armes qu'elle y avait mise,;Hauteclaire;Stassin, en disparaissant, n'eut personne pour elle. Elle
03 - Le Bonheur dans le crime;armes qu'elle y avait mise, Hauteclaire;Stassin;, en disparaissant, n'eut personne pour elle. Elle avait
03 - Le Bonheur dans le crime;vivre un mois ou deux d'hiver à;Paris;, et deux ou trois d'entre eux prétendirent l'y avoir
03 - Le Bonheur dans le crime;-- au spectacle, -- ou, aux;Champs-Elysées;, à cheval, -- accompagnée ou seule, -- mais ils
03 - Le Bonheur dans le crime;termes, après la disparition de cette fameuse;Hauteclaire;, la ville de V... tomba dans la langueur de vie
03 - Le Bonheur dans le crime;ou dans leurs bois, le comte de;Savigny;comme tous les autres. Il vint de moins en moins à
03 - Le Bonheur dans le crime;lui non plus ne me parlait jamais de;Hauteclaire;et des temps où nous nous étions rencontrés chez elle, et
03 - Le Bonheur dans le crime;, et qui est le mien. --;C';était lui qui l'avait enlevée ! « Eh bien ! pas
03 - Le Bonheur dans le crime;de vue du secret, le comte de;Savigny;, depuis son mariage, n'avait pas bougé de son château
03 - Le Bonheur dans le crime;n'avait pas bougé de son château de;Savigny;. Il y vivait, au su de tout le monde,
03 - Le Bonheur dans le crime;on le citait et on le cotait,;Savigny;, comme un de ces maris qu'il faut brûler, tant
03 - Le Bonheur dans le crime;plus d'un an après la disparition de;Hauteclaire;Stassin, -- je n'avais été appelé, en termes pressants
03 - Le Bonheur dans le crime;d'un an après la disparition de Hauteclaire;Stassin;, -- je n'avais été appelé, en termes pressants,
03 - Le Bonheur dans le crime;, en termes pressants, au château de;Savigny;, dont la châtelaine était malade. Je partis immédiatement, et
03 - Le Bonheur dans le crime;plus grand honneur au goût des comtes de;Savigny;. Une seule lampe éclairait cette grande pièce, et sa lumière
03 - Le Bonheur dans le crime;jours déjà qu'elle était malade, et;Savigny;#NOME?
03 - Le Bonheur dans le crime;que je ne soupçonnais pas au château de;Savigny;, et dont la vue m'étonna jusqu'à l'éblouissement.
03 - Le Bonheur dans le crime;étonna jusqu'à l'éblouissement. C'était;Hauteclaire;! » -- Diable ! voilà qui est osé ! -- dis
03 - Le Bonheur dans le crime;, la porte s'était ouverte : --;Eulalie;, et ma potion ? -- dit, d'un ton bref
03 - Le Bonheur dans le crime;la comtesse impatiente. -- La voici,;Madame;! -- fit une voix que je crus reconnaître, et qui
03 - Le Bonheur dans le crime;tracé par la lampe autour du lit,;Hauteclaire;"Stassin ; -- oui, Hauteclaire elle -même ! -- tenant,"
03 - Le Bonheur dans le crime;par la lampe autour du lit, Hauteclaire;Stassin;"; -- oui, Hauteclaire elle -même ! -- tenant, dans"
03 - Le Bonheur dans le crime;"lit, Hauteclaire Stassin ; -- oui,";Hauteclaire;elle -même ! -- tenant, dans ses belles mains, un
03 - Le Bonheur dans le crime;qu'une telle vue ! Eulalie !...;Heureusement;, ce nom d'Eulalie prononcé si naturellement me dit tout,
03 - Le Bonheur dans le crime;attitude passive de médecin et d'observateur.;Hauteclaire;, devenue Eulalie, et la femme de chambre de la comtesse
03 - Le Bonheur dans le crime;médecin et d'observateur. Hauteclaire, devenue;Eulalie;, et la femme de chambre de la comtesse de Savigny !
03 - Le Bonheur dans le crime;la femme de chambre de la comtesse de;Savigny;!... Son déguisement -- si tant est qu'une femme pareille
03 - Le Bonheur dans le crime;, et quand elle eut fini : --;C';est bien, -- dit -elle. -- Remportez cela. Et
03 - Le Bonheur dans le crime;dit -elle. -- Remportez cela. Et;Hauteclaire-Eulalie;se retourna, avec cette tournure que j'aurais reconnue entre les
03 - Le Bonheur dans le crime;entre les vingt mille tournures des filles d';Assuérus;, et elle remporta le plateau. J'avoue que je demeurai
03 - Le Bonheur dans le crime;demeurai un instant sans regarder le comte de;Savigny;, car je sentais ce que mon regard pouvait être pour lui
03 - Le Bonheur dans le crime;Heureux d'être délivré d'une inquiétude,;Savigny;"m'avait dit : "" Jusqu'à nouvel ordre, docteur,"
03 - Le Bonheur dans le crime;?... Datait -elle de la disparition de;Hauteclaire;?... Y avait -il déjà plus d'un an que la
03 - Le Bonheur dans le crime;-elle de la disparition de Hauteclaire ?...;Y;avait -il déjà plus d'un an que la chose durait et
03 - Le Bonheur dans le crime;un an que la chose durait et que;Hauteclaire;Stassin était femme de chambre chez la comtesse de Savigny ? Comment
03 - Le Bonheur dans le crime;an que la chose durait et que Hauteclaire;Stassin;était femme de chambre chez la comtesse de Savigny ? Comment,
